professional procrastinator| If any woman should be insecure by her, it should only be  because of the immense beauty she carries inside her.
professional procrastinator| Is this guy crazy tho. He is trying way too fucking hard to lower her self esteem. He doesn't even let her talk. Every time she tries to answer, he bashes her with another disrespectful question. If I had been in Sunny's place, I would have slapped this guy
professional procrastinator| She is happy with her life. The media is only always trying to make her regretful about what she does with her life. And I don't understand why people around are so affected by her past, I mean it's her life , and asking questions like these are so disrespectful and inappropriate
Abhishek Singh Shekhu| Intelligent Woman.❤️
Khulood Jameel| His existence in this video is bothering me. He’s so fucked up!
Jaspinder Singh| I wanna kick host's Ass with Cando stick
Priya k| Hahaha Randi roasted
Ankhi Soorma| Randi being promoted as mainstream star. Channel ke itne burey din aa gaye that they had to interview a porn star?
Sandeep Mahendrakar| He is such an ass hole .. Bhupendra .. She is not your daughter/sister/girl friend .. WTF do you dick out on every question ..?
Sayan Sadhukhan| Strong af!🔥And fuck you dude!
al tamimi real estate| bless u
Goku G| after watching the interview i was so shocked that sunny leone didn't slap the interviewer....it needs a lot of courage to answer such intolerance questions.....i respect her because of her nature ,behaviour...... after this, i respect her even more.....until u give  her the hashtag of pornstar, u cant understand her nature......most of the typical minds of indian cant takeout that tag of her so people cant understand her, its as simple as that....we cant respect individual choice but we call our country as "THE LAND OF CULTURE AND TRADITION"......
Aparna Mukerji| So disrespectful. I feel awful for that woman answering so many ridiculous questions.
Sagar Seth| Shame IBM!
The supermodel channel| Slay it karen
Sharath Anora| Fuck Bhupendra and all pretentious basteds like him.. Bet he jerked off to her porn just before the interview.. Bald headed dickless skank
Jui Deb| Sunny-'really? Is this negative? I can't tell at all...' Killed it with her sarcasm.. respect to you!
Preeti Daniel| What a piece of shit this journalist is....  Why you didn't slap him sunny??!!!😡😡
velk4N_ san| the funny thing is all these " idols " like amir khan and others talk a lot about women empowerment but when it comes to really  doing something that would actually make a difference they don't have the balls to do it because their ' image ' is more important. its borderline disgusting khali aam janta ka chutyia bna rhe hain ye actor log
Mehul Kumar| Who is here after watching "Sunny leone : The untold Story  " ??She is amazingVery nice person ☺️👍Respect for her .Hit the like button if u agree with the ssme ☺️☺️
viba mohan| Who's here after watching karanjith Kaur web series
Fahimur Rahman| Who is this Motherf***r?Why didn't the news channel fire this dickhead.
